,name,gender,time,place,timezone,Rodden Rating,Category
1,"


1943 Frankford Junction derailment
"," N/A

","6 September 1943 at 18:06  (= 6:06 PM )
","Frankford, Pennsylvania, 40n02,  75w05 
","EWT h4w (is war time)
",A,Mundane : Disasters : Accidents
2,"


2008 Sichuan earthquake
"," N/A

","12 May 2008 at 14:28  (= 2:28 PM )
","Chengdu (Sichuan), China, 30n40,  104e04 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Natural Disasters
3,"


2015 Eckwersheim TGV derailment
"," N/A

","14 November 2015 at 15:15  (= 3:15 PM )
","Strasbourg, France, 48n35,  7e45 
","MET h1e (is standard time)
",AA,Mundane : Disasters : Accidents
4,"


Shooting Spree: 2015 Murders of Alison and Adam
"," N/A

","26 August 2015 at 06:46  (= 06:46 AM )
","Moneta, Virginia, 37n11,  79w37 
","EDT h4w (is daylight saving time)
",A,Mundane : Disasters : Deranged Actions
5,"


2015 Paris attacks survivor
"," M

","19 January 1989 at 09:27  (= 09:27 AM )
","Thonon les Bains, France, 46n22,  6e29 
","MET h1e (is standard time)
",AA,Vocation : Writers : Columnist/ journalist
6,"


2015 Philadelphia train derailment
"," N/A

","12 May 2015 at 21:23  (= 9:23 PM )
","Port Richmond, New York, 40n38,  74w08 
","EDT h4w (is daylight saving time)
",A,Mundane : Disasters : Accidents
8,"


Accident: 2015 Tianjin explosion
"," N/A

","12 August 2015 at 23:36  (= 11:36 PM )
","Tianjin (Tianjin Shi), China, 39n0832,  117e1036 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Accidents
9,"


Nature: 2016 Alberta wildfire
"," N/A

","1 May 2016 at 21:57  (= 9:57 PM )
","Fort McMurray, Alberta, 56n44,  111w23 
","MDT h6w (is daylight saving time)
",A,Mundane : Disasters : Natural Disasters
12,"


2017 Greek-Turkish earthquake
"," N/A

","21 July 2017 at 01:31  (= 01:31 AM )
","Bodrum, Turkey, 37n02,  27e26 
","MSK h3e (is standard time)
",A,"2017 births&Birthday 21 July&Birthplace Bodrum, TUR&Sun 28 Cancer&Moon 24 Gemini&Asc 20 Taurus&Mundane : Disasters : Natural Disasters"
13,"


2017: China Jiuzhaigou earthquake
"," N/A

","8 August 2017 at 21:19  (= 9:19 PM )
","Aba (Sichuan), China, 32n55,  101e42 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Natural Disasters
14,"


Nature: 2017 Iran Kermanshah earthquake
"," N/A

","12 November 2017 at 21:48  (= 9:48 PM )
","Kermanshah, Iran, 34n19,  47e04 
","IRT h3e30 (is standard time)
",AA,Mundane : Disasters : Natural Disasters
